"changed_files","changed_lines","comments","commits","lifetime","lifetimeType","merged","merged_by","number"
"1","1","2","1","1","VS","true","zerowidth","111"
"1","8","2","1","130","M","true","zerowidth","110"
"1","6","1","1","1","VS","false","","109"
"2","16","8","3","95","M","true","zerowidth","107"
"1","5","3","1","0","VS","true","zerowidth","106"
"5","81","4","3","422","L","true","zerowidth","103"
"1","14","1","2","403","L","true","zerowidth","102"
"1","4","1","1","403","L","true","zerowidth","101"
"4","15","1","1","9","VS","true","zerowidth","100"
"1","6","4","1","1108","L","false","","99"
"1","2","2","1","0","VS","true","shiftkey","98"
"1","6","3","1","121","M","true","zerowidth","96"
"1","23","5","1","816","L","false","","94"
"1","1","3","1","10","VS","true","zerowidth","90"
"3","7","9","2","1202","L","true","zerowidth","88"
"3","52","2","7","28","S","true","zerowidth","87"
"1","2","5","1","2691","L","true","zerowidth","86"
"2","12","1","1","0","VS","true","zerowidth","84"
"1","26","6","1","0","VS","true","MikeMcQuaid","83"
"1","9","5","2","3401","L","false","","82"
"1","2","3","1","1844","L","true","zerowidth","81"
"3","46","10","1","51","S","true","jbarnette","79"
"1","4","2","1","692","L","true","zerowidth","78"
"1","1","2","1","37","S","true","jbarnette","76"
"1","1","2","1","20","VS","true","zerowidth","75"
"3","13","6","1","141","M","true","zerowidth","74"
"1","1","3","1","1276","L","false","","73"
"1","1","1","1","0","VS","false","","72"
"2","12","5","2","162","M","true","jbarnette","71"
"3","50","1","1","267","L","true","jbarnette","69"
"1","2","1","1","857","L","true","jbarnette","68"
"1","4","1","1","3672","L","true","jbarnette","66"
"1","2","1","1","64","S","true","zerowidth","65"
"1","1","3","1","0","VS","true","zerowidth","63"
"1","2","14","1","6093","L","false","","61"
"1","2","1","1","0","VS","false","","59"
"2","21","3","2","0","VS","true","jbarnette","58"
"1","2","1","1","0","VS","false","","57"
"1","2","0","1","2","VS","true","jbarnette","56"
"1","1","1","1","1183","L","true","jbarnette","55"
"1","34","4","2","5555","L","true","jesseplusplus","54"
"1","25","2","1","380","L","true","zerowidth","53"
"1","16","2","1","304","L","false","","51"
"1","1","2","1","2","VS","false","","49"
"1","21","19","2","3650","L","true","jesseplusplus","44"
"1","2","1","1","7612","L","true","jbarnette","43"
"4","64","0","4","0","VS","false","","42"
"1","2","2","1","257","L","true","jbarnette","38"
"1","6","15","1","556","L","true","jbarnette","35"
"4","62","8","3","13213","L","false","","34"
"5","9","8","2","13267","L","true","jbarnette","32"
"4","63","13","7","355","L","true","jesseplusplus","31"
"1","2","0","1","18","VS","true","jbarnette","30"
"1","4","1","1","0","VS","true","jbarnette","29"
"1","1","1","1","789","L","true","jbarnette","28"
"1","1","1","1","0","VS","false","","27"
"3","8","7","5","795","L","false","","26"
"1","3","0","1","830","L","false","","24"
"2","47","6","5","527","L","true","jbarnette","23"
"1","2","0","1","341","L","false","","22"
"1","2","4","1","259","L","true","jbarnette","20"
"2","115","6","2","0","VS","true","zerowidth","18"
"3","67","1","3","0","VS","true","zerowidth","17"
"2","16","5","1","3","VS","false","","16"
"1","19","2","2","210","M","true","zerowidth","15"
"2","11","1","2","0","VS","true","zerowidth","12"
"3","20","1","3","192","M","true","zerowidth","11"
"1","2","2","1","2","VS","true","jesseplusplus","10"
"2","3","4","1","217","M","true","jesseplusplus","8"
"6","52","6","2","240","M","true","jesseplusplus","7"
"1","2","1","1","48","S","true","jesseplusplus","6"
"10","253","3","8","72","S","true","zerowidth","5"
"12","912","8","48","428","L","true","zerowidth","4"
"8","193","0","10","0","VS","true","jbarnette","3"
"12","387","10","10","110","M","true","jbarnette","2"
